Station Name,Street Address,PlugShare Adress,City,State,ZIP,EV Network,EV Network (for NON-Networked),Latitude,Longitude,ID,EV L2 EVSE Num,EV DC Fast Count,EV Connector Types,EV Pricing,PlugShare Info,Combo P,CHAdeMO P,Combo P (network),CHAdeMO P (network),Combo #,CHAdeMO #,Notes,Notes from Network's website,FixedChargingPrice,ChargingUnit,ChargingValue ($),FixedParkingPrice,ParkingUnit,ParkingValue,Nissan==Free,Limit (min),Maximum Price ($),
Bellingham Nissan,1516 Iowa St,,Bellingham,WA,98229,Non-Networked,Nissan,48.755607,-122.454132,39778,2,1,CHADEMO J1772,Free,"37 kW EVgo Level 3 was installed 1/9/17, no RFID required. DCQC (free as of Nov 2018) on east side, sometimes accessible. (50 kw)",50 or 37 ??,,,,,,,,0,min,0,0,min,0,0,,,
Burien Nissan,16042 1st Ave S,,Burien,WA,98148,Non-Networked,Nissan,47.458466,-122.333257,39780,2,1,CHADEMO J1772,Free,"One DCQC. Very crowded, difficult parking. ChargePoint app, RFID, or NFC required for DCQC. All are free to use.",?,,,,,,,,0,min,0,0,min,0,0,,,
Dan Wilder Nissan,53 Jetta Way,97 Deer Park Rd,Port Angeles,WA,98362,Non-Networked,Nissan,48.102863,-123.342273,39788,2,1,CHADEMO J1772,Free,"Non-networked, free. 30 minute timer on the L3 (50 kw)",50,,,,,,,,0,min,0,0,min,0,0,30,,
Puyallup Nissan,101 Valley Ave NW,,Puyallup,WA,98371,Non-Networked,Nissan,47.207367,-122.294997,39789,1,1,CHADEMO J1772,Free,DC Fast: Free,?,,,,,,,,0,min,0,0,min,0,0,,,
Younker Nissan,3401 E Valley Rd,,Renton,WA,98058,Non-Networked,Nissan,47.448281,-122.219286,39791,1,1,CHADEMO J1772,Free,"CHAdeMO Level 3 (Nissan LEAF only), available only during business hours. (50KW) ",50,,,,,,,,0,min,0,0,min,0,0,,,
Dave Smith Nissan - Spokane,6901 E Sprague Ave,,Spokane Valley,WA,99212,Non-Networked,Nissan,47.657264,-117.312518,39796,2,1,CHADEMO J1772,Free,50 kw,50,,,,,,,,0,min,0,0,min,0,0,,,
BELLEFIELD,1300 114th Ave SE,,Bellevue,WA,98004,ChargePoint Network,,47.597293,-122.188069,60412,4,1,CHADEMO J1772,"Pricing is based on length of time. $0 per hour, and $5 per additional hour","DCQC (20 kW/50 Amp) - DC Fast: Free for first 30 minutes, then $5/hr.",20,,,,,,,"Parking Free for First 30 min, Thereafter $5.00/hr",0,min,0,0,min,0,0,30,,
AWNISSAN,3608 NE Auto Mall Dr,,Vancouver,WA,98662,ChargePoint Network,,45.648181,-122.59837,61030,,1,CHADEMO,Free,44 kw,44,,,,,,,,0,min,0,0,min,0,1,,,
REO,1525 14th Ave,,Seattle,WA,98122,ChargePoint Network,,47.614911,-122.3144085,63307,,1,CHADEMO,"Pricing is based on length of time. $1 per hour for the first 1 hour, and $5 per additional hour","$3.00 for a charge (up to an hour), then $5/hr. Pay with ChargePoint or credit/debt card. Parking fees apply.",?,,,,,,,"Parking $1 for first hour, thereafter $5/hr",3,min,0,0,min,1,0,60,,
Town Nissan,555 3rd St SE,,East Wenatchee,WA,98802,Non-Networked,Nissan,47.400783,-120.279071,63444,1,1,CHADEMO J1772,Free,Free,?,,,,,,,,0,min,0,0,min,0,0,,,
